FID,planteaar,fritrumsprofil,wkb_geometry
trae_basis.1,1931,2.8 m,POINT (12.539616769956641 55.66532653220765)
trae_basis.2,1931,2.8 m,POINT (12.53965126748055 55.665390541095235)
trae_basis.3,1931,2.8 m,POINT (12.539874779132376 55.66580513321524)
trae_basis.4,2021,2.8 m,POINT (12.540025124286569 55.66608616293556)
trae_basis.5,1931,2.8 m,POINT (12.540060893478296 55.666150375833226)
trae_basis.6,1931,2.8 m,POINT (12.540098243430633 55.66621964493362)
trae_basis.7,1931,2.8 m,POINT (12.540138232184129 55.66628834877545)
trae_basis.8,1980,4.5 m,POINT (12.540942745348927 55.66559139825601)
trae_basis.9,2016,4.5 m,POINT (12.555940487679479 55.683554896228436)
trae_basis.10,2017,4.5 m,POINT (12.55552441312129 55.68421589628813)
trae_basis.11,2018,4.5 m,POINT (12.549210897525631 55.685760838944354)
trae_basis.12,2001,4.5 m,POINT (12.47405164299221 55.711393179650955)
trae_basis.13,2001,4.5 m,POINT (12.47396997432611 55.71155579346658)
trae_basis.14,2001,4.5 m,POINT (12.474207048841496 55.711491730123385)
trae_basis.15,2001,4.5 m,POINT (12.474259791707237 55.711337332965236)
trae_basis.16,2020,2.8 m,POINT (12.556451008120662 55.68325240172918)
trae_basis.57,,Ikke registreret,POINT (12.566391609568514 55.68268652388288)
trae_basis.17,1989,4.5 m,POINT (12.48339662193366 55.70854558421282)
trae_basis.18,2001,4.5 m,POINT (12.484093484994705 55.70813103242137)
trae_basis.19,,Ikke registreret,POINT (12.637429239229801 55.65761780982644)
trae_basis.20,2009,4.5 m,POINT (12.484088283432127 55.70828137277715)
trae_basis.21,2016,4.5 m,POINT (12.485816295327014 55.70748267524754)
trae_basis.22,1995,4.5 m,POINT (12.488741021799465 55.70651653902929)
trae_basis.23,2003,4.5 m,POINT (12.489598974091646 55.7060414628794)
trae_basis.24,1995,4.5 m,POINT (12.48938548974084 55.70627343507721)
trae_basis.2528,1999,4.5 m,POINT (12.553350183953514 55.68937527128258)
trae_basis.25,1995,4.5 m,POINT (12.49082916072694 55.70569042171641)
trae_basis.26,1995,4.5 m,POINT (12.490174325641286 55.70598188954554)
trae_basis.27,1995,4.5 m,POINT (12.490474138072285 55.705774395454306)
trae_basis.28,1995,4.5 m,POINT (12.49065105537946 55.7058695258624)
trae_basis.29,1995,4.5 m,POINT (12.491000610030854 55.705786190235266)
trae_basis.30,1995,4.5 m,POINT (12.491376334449777 55.70556215414084)
trae_basis.31,1995,4.5 m,POINT (12.491638783403904 55.70550513443031)
trae_basis.32,1990,4.5 m,POINT (12.492492762991812 55.705479641205265)
trae_basis.33,1990,4.5 m,POINT (12.492681074258337 55.70531527792411)
trae_basis.34,1990,4.5 m,POINT (12.493610887920054 55.70527328358118)
trae_basis.35,1990,4.5 m,POINT (12.494005679980729 55.70520302414134)
trae_basis.36,1990,4.5 m,POINT (12.49489446004163 55.704985568147215)
trae_basis.37,1990,4.5 m,POINT (12.495087572152208 55.70496617650978)
trae_basis.38,1990,4.5 m,POINT (12.495374252521204 55.70506332928437)
trae_basis.39,2008,4.5 m,POINT (12.55185175784943 55.687185558838216)
trae_basis.40,2011,4.5 m,POINT (12.55172233356632 55.687223076805616)
trae_basis.41,2018,4.5 m,POINT (12.55183006500245 55.6870648823667)
trae_basis.42,2000,2.8 m,POINT (12.543431447418067 55.66645763879189)
trae_basis.43,2000,2.8 m,POINT (12.541995829949036 55.66625989080436)
trae_basis.44,2000,2.8 m,POINT (12.541629575361213 55.666302379543126)
trae_basis.45,2000,2.8 m,POINT (12.541748488632798 55.66628679686787)
trae_basis.46,1981,4.5 m,POINT (12.549201268327016 55.68523392940047)
